docking_score,smile
-10.6,O=C1OC(=N/C/1=C/c1ccc2ccccc2c1)c1ccccc1Cl
-7.2,COC(=O)c1ccc(C(=O)OC)c(NC(=O)C(C)C)c1
-8.5,COC(=O)c1ccc(N2C(=O)[C@@H](C)S[C@H]2c2ccccc2)cc1
-8.3,CC(C)(C)[C@@]1(O)CC(C(F)(F)F)=NN1C(=O)c1ccccc1F
-8.1,O=C(CSc1nc2ccccc2o1)NC1=NC(=O)CS1
-8.7,CCOC(=O)c1cccc(NC(=O)COc2ccccc2C)c1
-6.9,Cc1[nH]nc(O)c1[C@@H](c1ccc([N+](=O)[O-])cc1)C(C#N)C#N
-8.6,Cc1cccc(NC(=O)[C@H]2[C@@H](C=C(Cl)Cl)C2(C)C)c1
-7.4,CCOC(=O)C1=C(C)NC(=O)N(C(C)=O)[C@@H]1c1ccccc1F
-9.6,Cc1ccc(NC(=O)[C@@H](C)NC(=O)OCc2ccccc2)cc1C
-8.2,Cc1cc(S(=O)(=O)NCc2cccnc2)c(Cl)cc1Cl
-6.3,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-]
-8.0,OC[C@H](O)COc1ccc(Cc2ccc(OC[C@@H](O)CO)cc2)cc1
-6.7,O=[N+]([O-])/C=C/c1ccc(Cl)cc1Cl
-8.8,Cc1sc(NC(=O)c2ccccc2[N+](=O)[O-])c(C(N)=O)c1C
-8.9,Cc1cccc(Oc2coc3cc(OCC(=O)O)ccc3c2=O)c1
-7.2,O=C(N/C(=C/c1cccs1)C(=O)N1CCCC1)c1cccs1
-8.7,CNc1nc2nonc2nc1Nc1ccc(Cl)cc1
-7.3,O=C(O)[C@@H]1CS[C@@H](c2ccc(O)cc2)N1
-9.5,Cc1ccc(C2=C/C(=C/c3ccc(Cl)cc3)/C(=O)O2)cc1
-10.1,Cc1cc2nnn(c3nc(C)nc4sc5c(c34)CCCC5)c2cc1C
-9.6,O=c1c2ccccc2nc(c2ccccc2)n1c1cccc(O)c1
-8.3,COc1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)c(OC)c1
-9.3,Cc1cc(Cl)ccc1NC(=O)Cn1cnc2ccccc2c1=O
-7.5,NC(=O)c1ccc(-c2csnn2)cc1
-6.9,COC(=O)C1=C(C)N(C)C(C)=C(C(=O)OC)C1c1ccccn1
-7.4,N#CNc1nc(N2CCOCC2)nc(N2CCOCC2)n1
-8.4,CCn1c2nc(-c3ccc(OC)c(O)c3)[nH]c(=O)c2sc1=S
-7.9,O=c1c(Cl)c(C(F)(F)F)oc2ccccc12
-7.4,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)O
-7.4,O=C(OCc1ccccc1)[C@H]1CC(=O)N1
-7.7,Nc1ncncc1-c1ccc(Cl)cc1
-9.3,c1coc(c2nc3ccccc3n2CCc2ccccc2)c1
-8.7,CCOc1ccc(C(=O)N2CCCc3ccccc23)cc1
-6.8,COC(=O)CCC(=O)Nc1ccc(I)cc1
-9.1,COc1ccc(-n2c(C)nc3cc([N+](=O)[O-])ccc3c2=O)cc1
-8.4,CN(C)C(=O)Nc1ccc(OCc2ccccc2)cc1
-7.6,CCOC(=O)C1=C(C)N(C)C(=O)N[C@H]1c1ccccc1Cl
-7.3,CCNC(=O)C[C@@H]1Sc2ccccc2NC1=O
-6.8,CC(=O)[C@@H](C)n1cnc2sc(C)c(C)c2c1=O
-8.4,O=C(/C=C/c1ccccc1)Nc1ccc(N2CCOCC2)cc1
-7.7,CCOc1ccccc1OC(=O)/C=C/c1ccccc1OC
-6.6,CCOC(=O)c1c(N)sc2c1[C@@H](C(=O)OCC)CC2
-6.9,Cn1c2nc(Cl)n(CC(=O)O)c2c(=O)n(C)c1=O
-7.8,NC(=O)c1ccc[n+](Cc2ccc(Cl)cc2)c1
-8.3,COC(=O)C1CCN(S(=O)(=O)c2ccc(NC(C)=O)cc2)CC1
-8.7,CCOC(=O)c1c(C)[nH]c(=O)nc1-c1ccccc1
-8.4,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)Nc1cccc(C(F)(F)F)c1
-8.3,CC(C)CCn1c2c(nc1N1CCNCC1)n(C)c(=O)[nH]c2=O
-7.7,CCOc1ccccc1NC(=O)Nc1ccccc1
-7.9,Nc1ccc2nc(SCc3ccc(F)cc3)sc2c1
-9.1,C[C@@H](C(=O)Nc1cccc(C(F)(F)F)c1)C(=O)c1ccccc1
-9.0,C[C@@H](Oc1ccc(F)cc1)C(=O)NCc1ccc2c(c1)OCO2
-9.1,Cc1ccc(NC(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@@H]2C(=O)O)cc1
-8.0,COc1ccc(NC(=O)Cn2cnc([N+](=O)[O-])n2)c(OC)c1
-6.9,CC[C@H](CCC[C@H]1CCNC(=O)N1)CC(=O)O
-8.1,COc1cccc([C@@]2(C)SC(NC(C)=O)=NN2C(C)=O)c1
-9.0,Cc1ccc(NC(=O)CS(=O)(=O)c2cn(C)c3ccccc23)cc1
-8.9,Cc1sc(NC(=O)[C@@H]2CCCC[C@@H]2C(=O)O)nc1c1ccccc1
-9.4,Cc1cccc(Nc2ncc(F)c(N3CCCCC3)n2)c1C
-9.6,O=C(O)[C@@H]1CC=CC[C@@H]1C(=O)N1CCC(Cc2ccccc2)CC1
-7.3,COc1ccc(C[C@@H](C)NC[C@@H]2CCCO2)cc1
-7.6,COC(=O)[C@@H]1CC(=O)O[C@H]1c1ccccc1
-7.1,CN(Cc1ccccc1)C(=O)c1ccc(Br)o1
-10.0,O=C(c1ccc(F)cc1)N1CCC(Cc2ccccc2)CC1
-7.2,Cc1ccc(NC(=O)CC(C)C)c(C)c1
-8.4,Fc1cccc(CSc2ncnc3ccccc23)c1
-9.0,C[C@H](C(=O)c1ccccc1)[C@@]1(O)C(=O)Nc2ccccc21
-8.2,CC(=O)C[C@@H](c1ccccc1)S(=O)(=O)c1ccc(Cl)cc1
-7.8,Nc1cc(Oc2ccc(Br)cc2)cc([N+](=O)[O-])c1
-6.9,CC1=NN(C(N)=S)[C@@H](c2ccccc2)C1
-8.9,CC(C)(C)N(Cc1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1Cl
-9.2,COc1ccc(c2cc(=O)c3c(C)oc(C)c3c(OC)c2)cc1OC
-8.2,NC(=O)CSc1nc2ccccc2n1-c1ccccc1
-8.7,Cc1ccccc1NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1
-8.1,C[C@@H](CNS(=O)(=O)c1ccccc1)c1ccccc1
-8.2,COc1ccc(CNc2ccc(C)c(C)c2)cc1C
-5.7,COC(=O)C1(C(=O)OC)C(C)(C)C1(C(=O)OC)C(=O)OC
-7.7,COc1cc(/C=C/C(=O)N[C@H]2CCSC2=O)cc(OC)c1OC
-11.1,c1ccc2c(c1)c1ccccc1c1nc3ncccc3nc21
-8.6,Cc1ccnc(NC(=O)c2ccc(C(C)C)cc2)c1
-9.3,C[C@@H](NC(=O)c1ccccc1F)c1nc2ccccc2[nH]1
-7.7,CSc1nc2ccccc2n1CC(=O)NC1CCCCC1
-7.6,CCNc1nc(NC(C)C)nc(Oc2ccc(C=O)cc2)n1
-7.7,O=C(CCC1CCCCC1)Nc1ccccc1Cl
-8.6,Cc1cc(C)cc(C[C@H](C)CC(=O)Nc2ccccc2)c1
-8.1,C[C@@H](CN1CCCCC1)OC(=O)[C@H]1COc2ccccc2O1
-9.1,Cc1cc(C(=O)N2CCN(c3ccccn3)CC2)ccc1[N+](=O)[O-]
-5.9,O=[N+]([O-])c1ccc(Br)cn1
